Year,Age,Sex,Mean,SD
2010,10,Female,34.1,6.96
2010,11,Female,39,7.91
2010,12,Female,43.8,8.16
2010,13,Female,47.3,7.77
2010,14,Female,50,7.78
2010,15,Female,51.6,8.01
2010,16,Female,52.7,8.01
2010,17,Female,52.9,7.93
2009,5,Male,19,2.69
2009,6,Male,21.5,3.44
2009,7,Male,24.1,4.13
2009,8,Male,27.2,5.07
2009,9,Male,30.6,6.35
2009,10,Male,34.2,7.57
2009,11,Male,38.4,8.6
2009,12,Male,44.2,9.92
2009,13,Male,49.1,10.18
2009,14,Male,54.3,10.18
2009,15,Male,59.5,10.94
2009,16,Male,61.3,10.47
2009,17,Male,63.1,10.78
2009,5,Female,18.6,2.59
2009,6,Female,21,3.29
2009,7,Female,23.5,3.86
2009,8,Female,26.5,4.88
2009,9,Female,30,5.9
2009,10,Female,34.1,7.08
2009,11,Female,39,7.94
2009,12,Female,43.8,8.25
2009,13,Female,47.3,7.94
2009,14,Female,50.2,7.83
2009,15,Female,51.6,8.04
2009,16,Female,52.8,8.01
2009,17,Female,52.9,8.07
2008,5,Male,19.1,2.73
2008,6,Male,21.5,3.4
2008,7,Male,24.2,4.26
2008,8,Male,27.3,5.25
2008,9,Male,30.8,6.52
2008,10,Male,34.3,7.53
2008,11,Male,38.8,8.71
2008,12,Male,44.5,10.04
2008,13,Male,49.5,10.38
2008,14,Male,54.9,10.44
2008,15,Male,59.8,11.34
2008,16,Male,61.6,10.7
2008,17,Male,63.4,11.37
2008,5,Female,18.6,2.59
2008,6,Female,21,3.29
2008,7,Female,23.6,3.93
2008,8,Female,26.6,4.86
2008,9,Female,30.1,5.91
2008,10,Female,34.4,7.34
2008,11,Female,39.3,8.04
2008,12,Female,44.2,8.45
2008,13,Female,47.7,8.05
2008,14,Female,50.4,7.89
2008,15,Female,52,8.24
2008,16,Female,53,8.24
2008,17,Female,53.2,8.13
2007,5,Male,19.1,2.7
2007,6,Male,21.5,3.49
2007,7,Male,24.2,4.36
2007,8,Male,27.4,5.32
2007,9,Male,30.7,6.35
2007,10,Male,34.4,7.7
2007,11,Male,38.7,8.77
2007,12,Male,44.5,10.24
2007,13,Male,49.6,10.64
2007,14,Male,54.7,10.46
2007,15,Male,60,11.63
2007,16,Male,62,11.05
2007,17,Male,63.7,11.02
2007,5,Female,18.7,2.65
2007,6,Female,21,3.32
2007,7,Female,23.5,3.99
2007,8,Female,26.6,4.98
2007,9,Female,30,6
2007,10,Female,34.3,7.3
2007,11,Female,39.1,8.11
2007,12,Female,44.1,8.5
2007,13,Female,47.6,8.11
2007,14,Female,50.3,8.05
2007,15,Female,52.1,8.33
2007,16,Female,53.2,8.2
2007,17,Female,53.5,8.41
2006,5,Male,19.1,2.72
2006,6,Male,21.6,3.66
2006,7,Male,24.2,4.26
2006,8,Male,27.4,5.37
2006,9,Male,30.9,6.56
2006,10,Male,34.5,7.55
2006,11,Male,38.8,8.82
2006,12,Male,44.9,10.48
2006,13,Male,49.9,10.53
2006,14,Male,55.1,10.62
2006,15,Male,60.1,11.27
2006,16,Male,62,10.81
2006,17,Male,63.9,11.04
2006,5,Female,18.7,2.63
2006,6,Female,21.1,3.34
2006,7,Female,23.6,4.02
2006,8,Female,26.6,4.89
2006,9,Female,30.1,6.01
2006,10,Female,34.2,7.14
2006,11,Female,39.5,8.15
2006,12,Female,44.4,8.45
2006,13,Female,47.9,8.2
2006,14,Female,50.6,8.03
2006,15,Female,52.3,8.21
2006,16,Female,53.4,8.22
2006,17,Female,53.7,8.32
2005,5,Male,19.1,2.75
2005,6,Male,21.6,3.55
2005,7,Male,24.3,4.34
2005,8,Male,27.4,5.44
2005,9,Male,30.9,6.56
2005,10,Male,34.7,7.65
2005,11,Male,39.1,9.16
2005,12,Male,44.9,10.34
2005,13,Male,50.1,10.58
2005,14,Male,55.3,10.62
2005,15,Male,60.3,11.35
2005,16,Male,62.2,11.01
2005,17,Male,63.8,11.08
2005,5,Female,18.7,2.64
2005,6,Female,21.1,3.42
2005,7,Female,23.6,4.03
2005,8,Female,26.8,5.03
2005,9,Female,30.2,6.14
2005,10,Female,34.4,7.34
2005,11,Female,39.5,8.21
2005,12,Female,44.4,8.7
2005,13,Female,48,8.29
2005,14,Female,50.8,8.09
2005,15,Female,52.4,8.5
2005,16,Female,53.3,8.13
2005,17,Female,53.7,8.45
2004,5,Male,19.1,2.78
2004,6,Male,21.6,3.56
2004,7,Male,24.3,4.46
2004,8,Male,27.5,5.56
2004,9,Male,31,6.7
2004,10,Male,34.7,7.92
2004,11,Male,39,8.98
2004,12,Male,44.9,10.41
2004,13,Male,50.1,10.77
2004,14,Male,55.2,10.73
2004,15,Male,60.1,11.45
2004,16,Male,62.2,11.12
2004,17,Male,63.5,10.91
2004,5,Female,18.7,2.66
2004,6,Female,21.1,3.42
2004,7,Female,23.6,4.01
2004,8,Female,26.7,5.06
2004,9,Female,30.3,6.24
2004,10,Female,34.5,7.39
2004,11,Female,39.6,8.36
2004,12,Female,44.5,8.68
2004,13,Female,48,8.44
2004,14,Female,50.7,8.16
2004,15,Female,52.5,8.8
2004,16,Female,53.4,8.43
2004,17,Female,53.5,8.38
2003,5,Male,19.2,2.76
2003,6,Male,21.7,3.61
2003,7,Male,24.4,4.4
2003,8,Male,27.8,5.71
2003,9,Male,31.3,6.81
2003,10,Male,34.9,7.97
2003,11,Male,39.4,9.23
2003,12,Male,45.1,10.45
2003,13,Male,50.3,10.7
2003,14,Male,55.4,10.68
2003,15,Male,60.4,11.25
2003,16,Male,62.2,10.84
2003,17,Male,63.5,10.61
2003,5,Female,18.8,2.67
2003,6,Female,21.2,3.42
2003,7,Female,23.8,4.22
2003,8,Female,26.9,5.13
2003,9,Female,30.5,6.35
2003,10,Female,34.7,7.5
2003,11,Female,40,8.44
2003,12,Female,44.8,8.71
2003,13,Female,48.1,8.29
2003,14,Female,50.9,8.1
2003,15,Female,52.3,8.47
2003,16,Female,53.4,8.51
2003,17,Female,53.5,8.4
2002,5,Male,19.2,2.77
2002,6,Male,21.7,3.64
2002,7,Male,24.3,4.48
2002,8,Male,27.7,5.61
2002,9,Male,31.2,6.87
2002,10,Male,34.9,7.97
2002,11,Male,39.4,9.34
2002,12,Male,45.2,10.42
2002,13,Male,50.6,10.8
2002,14,Male,55.5,10.72
2002,15,Male,60.3,11.43
2002,16,Male,61.9,10.88
2002,17,Male,63.2,10.96
2002,5,Female,18.9,2.72
2002,6,Female,21.1,3.49
2002,7,Female,23.8,4.2
2002,8,Female,26.9,5.19
2002,9,Female,30.4,6.31
2002,10,Female,34.8,7.56
2002,11,Female,39.8,8.33
2002,12,Female,44.9,8.84
2002,13,Female,48.3,8.47
2002,14,Female,50.9,8.26
2002,15,Female,52.4,8.52
2002,16,Female,53.3,8.2
2002,17,Female,53.5,8.29
2001,5,Male,19.2,2.76
2001,6,Male,21.7,3.68
2001,7,Male,24.3,4.42
2001,8,Male,27.6,5.57
2001,9,Male,31.1,6.81
2001,10,Male,35,7.99
2001,11,Male,39.5,9.25
2001,12,Male,45.4,10.46
2001,13,Male,50.6,10.64
2001,14,Male,55.5,10.55
2001,15,Male,60.1,11.06
2001,16,Male,61.7,10.67
2001,17,Male,62.8,10.47
2001,5,Female,18.8,2.72
2001,6,Female,21.2,3.45
2001,7,Female,23.7,4.08
2001,8,Female,26.9,5.16
2001,9,Female,30.5,6.36
2001,10,Female,34.7,7.29
2001,11,Female,40.1,8.35
2001,12,Female,44.9,8.61
2001,13,Female,48.3,8.37
2001,14,Female,50.9,8.12
2001,15,Female,52.2,8.53
2001,16,Female,53.2,8.14
2001,17,Female,53.2,8.11
2000,5,Male,19.2,2.81
2000,6,Male,21.8,3.78
2000,7,Male,24.4,4.42
2000,8,Male,27.7,5.63
2000,9,Male,31.2,6.83
2000,10,Male,35.1,7.94
2000,11,Male,39.4,9.15
2000,12,Male,45.4,10.39
2000,13,Male,50.4,10.48
2000,14,Male,55.4,10.34
2000,15,Male,59.7,10.83
2000,16,Male,61.2,10.13
2000,17,Male,62.6,10.32
2000,5,Female,18.8,2.69
2000,6,Female,21.3,3.55
2000,7,Female,23.8,4.22
2000,8,Female,27,5.26
2000,9,Female,30.7,6.41
2000,10,Female,34.9,7.51
2000,11,Female,40.1,8.35
2000,12,Female,45,8.59
2000,13,Female,48.3,8.24
2000,14,Female,50.7,7.95
2000,15,Female,52.1,8.26
2000,16,Female,53,7.81
2000,17,Female,53.1,7.89
1999,5,Male,19.2,2.84
1999,6,Male,21.7,3.64
1999,7,Male,24.4,4.38
1999,8,Male,27.7,5.55
1999,9,Male,31.2,6.7
1999,10,Male,35.1,7.98
1999,11,Male,39.3,8.95
1999,12,Male,45.1,10.19
1999,13,Male,50.2,10.37
1999,14,Male,55.3,10.54
1999,15,Male,59.3,10.75
1999,16,Male,61.1,10.09
1999,17,Male,62.4,10.14
1999,5,Female,18.8,2.72
1999,6,Female,21.3,3.45
1999,7,Female,23.8,4.11
1999,8,Female,27,5.14
1999,9,Female,30.7,6.37
1999,10,Female,34.9,7.45
1999,11,Female,40,8.28
1999,12,Female,45.1,8.59
1999,13,Female,48.2,8.21
1999,14,Female,50.7,7.88
1999,15,Female,52.2,8.36
1999,16,Female,53.1,8.05
1999,17,Female,53.1,7.95
1998,5,Male,19.2,2.77
1998,6,Male,21.7,3.66
1998,7,Male,24.4,4.51
1998,8,Male,27.7,5.51
1998,9,Male,31.3,6.78
1998,10,Male,35,7.82
1998,11,Male,39.4,9
1998,12,Male,44.9,9.94
1998,13,Male,50.2,10.34
1998,14,Male,55.2,10.42
1998,15,Male,59.7,11.07
1998,16,Male,61.3,10.34
1998,17,Male,62.7,10.35
1998,5,Female,18.9,2.69
1998,6,Female,21.3,3.51
1998,7,Female,23.8,4.15
1998,8,Female,27,5.12
1998,9,Female,30.6,6.25
1998,10,Female,35,7.34
1998,11,Female,40.1,8.31
1998,12,Female,44.9,8.51
1998,13,Female,48.3,8.2
1998,14,Female,50.6,7.86
1998,15,Female,52.1,8.01
1998,16,Female,53.1,7.87
1998,17,Female,53.1,7.91
1997,5,Male,19.3,2.86
1997,6,Male,21.7,3.68
1997,7,Male,24.5,4.53
1997,8,Male,27.7,5.48
1997,9,Male,31.2,6.68
1997,10,Male,34.9,7.78
1997,11,Male,39.1,8.78
1997,12,Male,44.6,9.89
1997,13,Male,49.9,10.36
1997,14,Male,54.9,10.1
1997,15,Male,59.7,10.86
1997,16,Male,61.5,10.34
1997,17,Male,62.9,10.15
1997,5,Female,18.9,2.72
1997,6,Female,21.2,3.49
1997,7,Female,23.8,4.18
1997,8,Female,27,5.18
1997,9,Female,30.5,6.19
1997,10,Female,34.8,7.35
1997,11,Female,39.8,8.14
1997,12,Female,44.7,8.37
1997,13,Female,47.9,7.98
1997,14,Female,50.4,7.75
1997,15,Female,52,7.97
1997,16,Female,53,7.71
1997,17,Female,52.9,7.56
1996,5,Male,19.3,2.82
1996,6,Male,21.8,3.63
1996,7,Male,24.4,4.31
1996,8,Male,27.7,5.42
1996,9,Male,31.1,6.44
1996,10,Male,34.8,7.57
1996,11,Male,39,8.68
1996,12,Male,44.5,9.72
1996,13,Male,49.9,10.32
1996,14,Male,54.9,10.08
1996,15,Male,59.7,10.65
1996,16,Male,61.5,9.99
1996,17,Male,63.1,10.09
1996,5,Female,19,2.74
1996,6,Female,21.3,3.47
1996,7,Female,23.9,4.08
1996,8,Female,27.1,5.06
1996,9,Female,30.6,6.19
1996,10,Female,34.9,7.29
1996,11,Female,40,8.13
1996,12,Female,44.7,8.27
1996,13,Female,48.1,7.9
1996,14,Female,50.6,7.69
1996,15,Female,52.3,7.89
1996,16,Female,53.3,7.8
1996,17,Female,53.2,7.59
1995,5,Male,19.4,2.87
1995,6,Male,21.7,3.53
1995,7,Male,24.4,4.24
1995,8,Male,27.6,5.38
1995,9,Male,30.8,6.22
1995,10,Male,34.5,7.33
1995,11,Male,38.6,8.39
1995,12,Male,44.1,9.6
1995,13,Male,49.8,10.35
1995,14,Male,54.7,10.04
1995,15,Male,59.8,10.8
1995,16,Male,61.7,10.33
1995,17,Male,63,10.1
1995,5,Female,19,2.73
1995,6,Female,21.3,3.41
1995,7,Female,23.9,4.13
1995,8,Female,27,4.98
1995,9,Female,30.5,6.11
1995,10,Female,34.6,7
1995,11,Female,39.6,8.05
1995,12,Female,44.6,8.18
1995,13,Female,48,7.86
1995,14,Female,50.5,7.59
1995,15,Female,52.3,7.91
1995,16,Female,53.2,7.67
1995,17,Female,53.3,7.73
1994,5,Male,19.3,2.78
1994,6,Male,21.6,3.46
1994,7,Male,24.3,4.31
1994,8,Male,27.3,5.13
1994,9,Male,30.7,6.3
1994,10,Male,34.2,7.23
1994,11,Male,38.4,8.3
1994,12,Male,44,9.61
1994,13,Male,49.3,9.96
1994,14,Male,54.6,9.84
1994,15,Male,59.5,10.44
1994,16,Male,61.5,10.08
1994,17,Male,62.9,9.93
1994,5,Female,18.9,2.69
1994,6,Female,21.2,3.38
1994,7,Female,23.7,3.94
1994,8,Female,26.8,4.86
1994,9,Female,30.3,5.86
1994,10,Female,34.6,7.12
1994,11,Female,39.4,7.94
1994,12,Female,44.4,8.11
1994,13,Female,47.8,7.68
1994,14,Female,50.5,7.57
1994,15,Female,52.2,7.78
1994,16,Female,52.8,7.32
1994,17,Female,53.1,7.29
1993,5,Male,19.4,2.7
1993,6,Male,21.7,3.48
1993,7,Male,24.3,4.22
1993,8,Male,27.4,5.2
1993,9,Male,30.6,6.05
1993,10,Male,34.3,7.24
1993,11,Male,38.4,8.32
1993,12,Male,44,9.46
1993,13,Male,49.3,9.81
1993,14,Male,54.7,9.89
1993,15,Male,59.7,10.52
1993,16,Male,61.5,10.09
1993,17,Male,62.8,10.02
1993,5,Female,19,2.69
1993,6,Female,21.2,3.35
1993,7,Female,23.8,3.91
1993,8,Female,26.8,4.86
1993,9,Female,30.2,5.75
1993,10,Female,34.4,6.98
1993,11,Female,39.4,7.85
1993,12,Female,44.2,7.99
1993,13,Female,47.9,7.84
1993,14,Female,50.4,7.52
1993,15,Female,52.3,7.81
1993,16,Female,53,7.38
1993,17,Female,53.2,7.47
1992,5,Male,19.3,2.73
1992,6,Male,21.6,3.42
1992,7,Male,24.2,4.1
1992,8,Male,27.2,5.1
1992,9,Male,30.6,6.11
1992,10,Male,34.2,7.12
1992,11,Male,38.2,8.15
1992,12,Male,44,9.29
1992,13,Male,49.4,9.93
1992,14,Male,54.7,9.9
1992,15,Male,59.3,10.35
1992,16,Male,61.4,10.06
1992,17,Male,62.8,9.82
1992,5,Female,19,2.68
1992,6,Female,21.1,3.31
1992,7,Female,23.6,3.86
1992,8,Female,26.6,4.72
