Year,Age,Sex,Mean,SD
1984,15,Female,51.8,7.143
1984,16,Female,52.7,6.88
1984,17,Female,52.7,6.74
1983,5,Male,19,2.45
1983,6,Male,21,3.02
1983,7,Male,23.4,3.53
1983,8,Male,26.3,4.35
1983,9,Male,29.2,5.21
1983,10,Male,32.6,6.15
1983,11,Male,36.5,7.34
1983,12,Male,41.7,8.55
1983,13,Male,47.2,9.16
1983,14,Male,52.8,9.12
1983,15,Male,57.6,9.42
1983,16,Male,59.5,8.86
1983,17,Male,61.1,8.51
1983,5,Female,18.6,2.41
1983,6,Female,20.7,2.95
1983,7,Female,23,3.51
1983,8,Female,25.7,4.16
1983,9,Female,28.9,5.13
1983,10,Female,32.7,6.13
1983,11,Female,37.7,7.11
1983,12,Female,42.6,7.51
1983,13,Female,46.6,7.19
1983,14,Female,49.4,6.83
1983,15,Female,51.7,7.21
1983,16,Female,52.3,6.72
1983,17,Female,52.4,6.57
