Year,Age,Sex,Weight,Count
1983,10,Female,12,0
1983,10,Female,13,0
1983,10,Female,14,0
1983,10,Female,15,0
1983,10,Female,16,0
1983,10,Female,17,0.1
1983,10,Female,18,0.2
1983,10,Female,19,0.1
1983,10,Female,20,0.9
1983,10,Female,21,2.9
1983,10,Female,22,4.9
1983,10,Female,23,10.4
1983,10,Female,24,20.8
1983,10,Female,25,38.4
1983,10,Female,26,46.4
1983,10,Female,27,61.6
1983,10,Female,28,68.8
1983,10,Female,29,75.2
1983,10,Female,30,82.3
1983,10,Female,31,74.1
1983,10,Female,32,69.8
1983,10,Female,33,66.7
1983,10,Female,34,58.2
1983,10,Female,35,51.5
1983,10,Female,36,43.9
1983,10,Female,37,34.3
1983,10,Female,38,29.9
1983,10,Female,39,25.5
1983,10,Female,40,27.3
1983,10,Female,41,19.5
1983,10,Female,42,15.8
1983,10,Female,43,12.2
1983,10,Female,44,10.7
1983,10,Female,45,9
1983,10,Female,46,6.6
1983,10,Female,47,7.5
1983,10,Female,48,3.9
1983,10,Female,49,4.1
1983,10,Female,50,4
1983,10,Female,51,2.4
1983,10,Female,52,2.4
1983,10,Female,53,1.8
1983,10,Female,54,0.6
1983,10,Female,55,0.8
1983,10,Female,56,0.9
1983,10,Female,57,0.8
1983,10,Female,58,0.6
1983,10,Female,59,0.4
1983,10,Female,60,0.2
1983,10,Female,61,0.2
1983,10,Female,62,0.1
1983,10,Female,63,0.1
1983,10,Female,64,0.2
1983,10,Female,65,0.1
1983,10,Female,66,0.1
1983,10,Female,67,0.2
1983,10,Female,68,0.2
1983,10,Female,69,0
1983,10,Female,70,0.2
1983,10,Female,71,0
1983,10,Female,72,0.1
1983,10,Female,73,0
1983,10,Female,74,0
1983,10,Female,75,0
1983,10,Female,76,0
1983,10,Female,77,0
1983,10,Female,78,0
1983,10,Female,79,0
1983,10,Female,80,0
1983,10,Female,81,0
1983,10,Female,82,0
1983,10,Female,83,0
1983,10,Female,84,0
1983,10,Female,85,0
1983,10,Female,86,0
1983,10,Female,87,0
1983,10,Female,88,0
1983,10,Female,89,0
1983,10,Female,90,0
1983,10,Female,91,0
1983,10,Female,92,0
1983,10,Female,93,0
1983,10,Female,94,0
1983,10,Female,95,0
1983,10,Female,96,0
1983,10,Female,97,0
1983,10,Female,98,0
1983,10,Female,99,0
1983,10,Female,100,0
1983,10,Female,101,0
1983,10,Female,102,0
1983,10,Female,103,0
1983,10,Female,104,0
1983,10,Female,105,0
1983,10,Female,106,0
1983,10,Female,107,0
1983,10,Female,108,0
1983,10,Female,109,0
1983,10,Female,110,0
1983,10,Female,111,0
1983,10,Female,112,0
1983,10,Female,113,0
1983,10,Female,114,0
1983,10,Female,115,0
1983,10,Female,116,0
1983,10,Female,117,0
1983,10,Female,118,0
1983,10,Female,119,0
1983,10,Female,120,0
1983,10,Female,121,0
1983,10,Female,122,0
1983,10,Female,123,0
1983,10,Female,124,0
1983,10,Female,125,0
1983,10,Female,11,0
1983,10,Male,12,0
1983,10,Male,13,0
1983,10,Male,14,0
1983,10,Male,15,0
1983,10,Male,16,0
1983,10,Male,17,0.2
1983,10,Male,18,0
1983,10,Male,19,0.1
1983,10,Male,20,0.4
1983,10,Male,21,1.6
